D,01/AGOSTO/2021,34.87,13.88%,-,0.00%,34.57,13.88%,96.44,38.35%,119.97,47.74%,216.41,86.12%,251.28
L,02/AGOSTO/2021,73.21,9.41%,-,0.00%,73.21,9.41%,296.18,38.07%,408.55,52.72%,704.73,90.59%,777.94
M,03/AGOSTO/2021,37.05,4.88%,-,0.54%?,41.81,5.42%?,284.24,37.41%,434.33,57.17%,718.60,94.58%,759.71
MI,04/AGOSTO/2021,50.58,6.86%,-,0.00%,50.58,6.86%,288.28,39.08%,395.72,54.06%,687.00,93.14%,737.58
J,05/AGOSTO/2021,55.91,7.34%,-,0.00%,65.05,8.51%,318.15,41.76%,378.26,49.66%,914.81,91.45%,761.46
V,06/AGOSTO/2021,37.65,5.19%,-,0.00%,37.65,5.19%,298.44,41.15%,389.51,53.63%,671.98,91.62%,725.63
S,07/AGOSTO/2021,44.90,7.73%,-,0.00%,43.67,5.84%,230.51,39.70%,301.46,51.92%,531.97,91.26%,580.64
D,08/AGOSTO/2021,14.68,6.61%,-,0.00%,16.34,2.20%,99.43,44.80%,100.16,47.83%,205.59,92.61%,221.93
L,09/AGOSTO/2021,46.64,6.80%,-,0.00%,46.64,6.80%,236.13,34.42%,403.19,58.78%,639.32,93.20%,685.96
M,10/AGOSTO/2021,64.15,7.79%,-,0.00%,64.15,7.79%,310.60,36.76%,470.25,55.68%,780.85,94.21%,845.00
MI,11/AGOSTO/2021,60.99,7.79%,-,0.00%,64.31,8.21%,322.63,41.20%,396.14,50.59%,718.77,91.79%,783.08
J,12/AGOSTO/2021,39.47,5.32%,-,0.00%,39.47,5.32%,298.81,41.27%,403.74,54.11%,718.55,91.68%,742.02
V,13/AGOSTO/2021,37.30,5.10%,-,0.00%,37.30,5.10%,305.88,41.76%,389.17,53.13%,695.05,94.00%,732.42
S,14/AGOSTO/2021,53.20,7.03%,-,0.00%,52.49,6.97%,281.98,41.52%,334.61,49.27%,616.59,91.80%,679.08
D,15/AGOSTO/2021,48.31,15.74%,-,0.00%,49.83,16.24%,119.36,38.69%,137.70,41.82%,257.06,83.76%,306.89
L,16/AGOSTO/2021,31.52,4.53%,-,0.00%,39.19,5.63%,293.67,42.17%,363.51,52.20%,657.18,93.43%,696.37
M,17/AGOSTO/2021,71.38,9.21%,-,0.00%,71.38,9.21%,268.36,34.64%,435.07,56.15%,703.43,90.79%,774.81
MI,18/AGOSTO/2021,40.53,5.33%,-,0.00%,40.53,5.33%,316.99,41.72%,402.25,52.94%,719.24,91.67%,759.77
J,19/AGOSTO/2021,39.36,5.62%,-,0.00%,39.36,5.62%,287.00,40.96%,374.29,53.12%,661.29,94.38%,700.65
V,20/AGOSTO/2021,21.90,2.84%,-,0.00%,21.90,2.84%,320.65,41.55%,429.21,55.61%,749.86,91.76%,771.62
S,21/AGOSTO/2021,67.56,9.39%,-,0.00%,77.28,10.13%,286.67,39.84%,355.71,49.43%,642.38,69.27%,719.58
D,22/AGOSTO/2021,30.71,11.90%,-,0.00%,30.71,11.90%,102.17,39.59%,125.17,48.51%,727.34,88.00%,258.25
L,23/AGOSTO/2021,60.99,8.12%,-,0.00%,60.99,8.12%,320.00,40.24%,598.83,50.16%,718.83,90.40%,795.17
M,24/AGOSTO/2021,47.62,5.77%,-,0.00%,47.62,5.77%,318.44,38.60%,458.91,55.63%,777.35,93.23%,824.97
MI,25/AGOSTO/2021,46.66,6.07%,-,0.00%,46.66,6.07%,309.01,38.15%,413.93,53.78%,772.96,93.93%,769.64
J,26/AGOSTO/2021,40.34,5.90%,-,0.00%,40.34,5.90%,286.59,41.91%,356.92,52.19%,643.51,94.10%,683.85
V,27/AGOSTO/2021,35.69,4.90%,-,0.00%,35.69,4.90%,305.66,41.97%,386.88,53.13%,642.51,93.10%,728.23
S,28/AGOSTO/2021,58.75,9.30%,-,0.00%,58.75,9.30%,124.64,38.41%,330.40,52.30%,573.04,90.70%,631.79
D,29/AGOSTO/2021,40.85,13.34%,-,0.00%,40.85,13.34%,253.31,40.91%,430.14,45.70%,562.45,86.60%,630.30
L,30/AGOSTO/2021,37.69,5.27%,-,0.00%,37.69,5.27%,274.33,38.69%,397.01,55.99%,671.34,94.68%,709.03
M,31/AGOSTO/2021,19.21,2.57%,-,0.00%,19.21,2.57%,265.36,38.22%,470.03,59.21%,672.39,97.43%,746.00
