# DATOS_DE_MONTAJE 
<csv>
DIA,FECHA,AMS_TON,AMS_%,MECANIZADOS_TON,MECANIZADOS_%,TOTAL_AYUNTAMIENTO_TON,TOTAL_AYUNTAMIENTO_%,CONWASTE_DOMINICANA_TON,CONWASTE_DOMINICANA_%,URBALUZ_TON,URBALUZ_%,COMLURSA_TON,COMLURSA_%,TOTAL_PRIVADAS_TON,TOTAL_PRIVADAS_%,TOTAL_GENERAL_TON,TOTAL_GENERAL_%
MI,01/ENERO/2020,54.15,20.07%,6.59,0.00%,84.13,20.07%,100.31,34.62%,77.95,26.91%,33.21,18.40%,231.57,79.93%,296.72
J,02/ENERO/2020,109.99,30.70%,13.41,3.83%,116.58,14.73%,195.64,14.27%,346.66,43.90%,132.66,16.76%,674.98,85.37%,799.56
V,03/ENERO/2020,120.01,33.25%,13.31,3.78%,113.07,14.44%,274.67,30.21%,339.64,37.36%,161.68,20.29%,776.01,98.75%,901.76
S,04/ENERO/2020,94.55,26.12%,13.41,3.82%,106.69,13.60%,219.63,24.81%,386.96,48.21%,115.63,14.71%,606.53,85.02%,791.28
D,05/ENERO/2020,61.16,16.74%,13.50,3.87%,86.39,11.01%,48.66,5.49%,271.23,34.92%,69.26,8.80%,227.20,35.19%,502.16
MI,06/ENERO/2020,65.84,18.25%,8.16,2.38%,94.88,12.17%,46.66,5.32%,117.26,14.97%,111.90,14.19%,681.40,90.57%,749.90
J,07/ENERO/2020,88.09,24.59%,8.17,2.36%,96.26,12.35%,249.54,28.32%,320.06,42.86%,112.68,14.47%,687.90,91.32%,824.16
V,08/ENERO/2020,118.71,33.05%,15.29,4.38%,134.00,17.15%,230.35,26.29%,334.37,44.67%,161.88,20.76%,727.40,96.32%,940.48
S,09/ENERO/2020,83.71,23.28%,13.57,3.83%,97.07,12.31%,213.51,24.51%,329.57,43.74%,149.84,19.71%,616.32,82.45%,830.72
D,10/ENERO/2020,98.10,27.38%,11.59,3.33%,109.67,13.98%,179.51,20.41%,369.73,48.75%,148.75,19.21%,744.32,99.68%,871.58
MI,11/ENERO/2020,98.34,27.29%,8.85,2.54%,107.19,13.76%,193.14,22.01%,429.27,56.80%,106.75,13.68%,612.80,82.32%,842.47
J,12/ENERO/2020,64.59,17.91%,1.93,0.56%,66.92,8.54%,152.61,17.46%,299.23,39.35%,60.73,7.80%,633.02,84.52%,723.21
V,13/ENERO/2020,133.11,36.89%,13.93,3.94%,129.57,16.61%,192.62,21.87%,369.91,48.74%,60.73,7.80%,741.67,98.55%,858.32
S,14/ENERO/2020,123.36,34.04%,11.22,3.19%,125.93,16.14%,274.30,31.25%,326.54,42.80%,104.52,13.21%,712.96,95.15%,843.73
D,15/ENERO/2020,117.00,32.88%,16.21,4.63%,139.57,17.84%,247.96,28.12%,375.53,49.71%,146.18,18.86%,741.67,98.55%,858.32
MI,16/ENERO/2020,70.33,19.61%,8.31,2.36%,125.23,16.14%,219.00,24.73%,328.25,43.94%,157.39,20.07%,716.64,95.74%,841.14
J,17/ENERO/2020,96.54,26.91%,7.87,2.26%,104.71,13.37%,189.01,21.25%,318.25,42.03%,153.66,19.67%,770.92,101.37%,839.74
V,18/ENERO/2020,79.63,22.15%,11.79,3.37%,103.42,13.18%,233.72,26.39%,364.96,47.91%,167.64,21.26%,708.32,94.37%,813.03
